id,CharName,Abbrev,Description
501,"French Soldier","French Soldier",
502,"Friar Francis","FRIAR FRANCIS",
503,"Friar John","FRIAR JOHN","Franciscan friar"
504,"Friar Laurence","FRIAR LAURENCE","Franciscan friar"
505,"Friar Peter","FRIAR PETER",
506,"Friar Thomas","FRIAR THOMAS",
507,Froth,FROTH,"a foolish gentleman"
508,Gadshill,Gadshill,
509,Gallus,GALLUS,"friend to Caesar"
510,Gaoler,Gaoler,
511,Gaoler,Gaoler,
512,Gardener,Gardener,
513,Gardiner,GARDINER,"bishop of Winchester"
514,Garter,Garter,King-at-Arms
515,Host,Host,"host of the Garter Inn"
516,General,General,"of the French forces in Bordeaux"
517,Gentleman,Gentleman,
518,Gentleman,Gentleman,
519,Gentleman,Gent,
520,Gentleman,Gentleman,
521,Gentleman,Gentleman,
522,Gentleman,Gentleman,
523,Gentlemen,GENTLEMEN,
524,Gentlewoman,Gentlewoman,"attending on Virgilia"
525,Gentlewoman,Gentlewoman,
526,Gentlemen,Gentlemen,
527,"George Plantagenet (Duke of Clarence)",GEORGE,
528,Gertrude,Queen,"Queen of Denmark and mother to Hamlet"
529,Girl,Girl,
530,Glendower,GLENDOWER,
531,"Duke of Gloucester",GLOUCESTER,"brother to the King"
532,"Earl of Glouchester",Glou,
533,Goneril,Gon,"daughter to Lear"
534,Gonzalo,GONZALO,"an honest old counsellor"
535,"Governor of Harfleur",GOVERNOR,
536,Gower,GOWER,
537,Gower,GOWER,"as chorus"
538,Grandpre,GRANDPRE,"French lord"
539,Gratiano,GRATIANO,"Brother to Brabantio"
540,Gratiano,GRATIANO,"friend to Antonio and Bassiano"
541,Green,GREEN,"servant to King Richard II"
542,Gregory,GREGORY,"Servant to Gregory"
543,Gremio,GREMIO,
544,"Sir Thomas Grey",GREY,
545,Griffith,GRIFFITH,"gentleman-usher to Queen Katherine"
546,Groom,Groom,
547,"First Groom","FIRST GROOM",
548,"Second Groom","SECOND GROOM",
549,"Third Groom","THIRD GROOM",
550,Grumio,GRUMIO,"Petruchio's man"
551,Guard,Guard,
552,Guiderius,GUIDERIUS,"son to Cymbeline, disguised under the name of Polydote, supposed son to Morgan"
553,Guildenstern,Guil,courtier
554,"Sir Henry Guildford",GUILDFORD,
555,"James Gurney",GURNEY,"servant to Lady Faulconbridge"
556,Haberdasher,HABERDASHER,
557,Gentleman,Gent,courtier
558,"Father's Ghost",Ghost,"Ghost of Hamlet's Father"
559,Hamlet,Ham,"son of the former king and nephew to the present king"
560,Players,,
561,Priest,Priest,
562,Harcourt,HARCOURT,
563,"Lord Hastings",HASTINGS,
564,Hecate,HECATE,
565,Hector,HECTOR,"son of Priam, king of Troy"
566,Helen,HELEN,"wife to Menelaus"
567,Helena,HELENA,"a gentlewoman protected by the Countess"
568,Helena,HELENA,"in love with Demetrius"
569,Helen,HELEN,"a lady attending on Cymbeline"
570,Helenus,HELENUS,"son of Priam, king of Troy"
571,Helicanus,HELICANUS,"a lord of Tyre"
572,"Henry IV","KING HENRY IV","King of England"
573,"Henry V",HENRY5,"Prince, King of England"
574,"Henry VI","KING HENRY VI",
575,"Richmond (Henry VII)","King Henry VII","Earl of Richmond, later Henry VII"
576,"Henry VIII","KING HENRY VIII",
577,Winchester,"BISHOP OF WINCHESTER","Henry Beaufort, great-uncle to Henry V, bishop of Winchster, and later cardinal"
578,Herald,Herald,
579,Herald,Herald,
580,Herald,Herald,
581,Herald,Her,
582,Herald,Herald,
583,Hermia,HERMIA,"daughter to Egeus, in love with Lysander"
584,Hermione,HERMIONE,"queen to Leontes"
585,Hero,HERO,"Daughter to Leonato"
586,Hippolyta,HIPPOLYTA,"queen of the Amazons, betrothed to Theseus"
587,Holofernes,HOLOFERNES,"a schoolmaster"
588,Horatio,Hor,"friend to Hamlet"
589,Hortensio,HORTENSIO,
590,Hortensius,HORTENSIUS,
591,Host,Host,"where Julia lodges"
592,Hostess,HOSTESS,
593,"Hotspur (Henry Percy)",HOTSPUR,
594,"Hubert de Burgh",HUBERT,
595,Huntsman,Huntsman,
596,"First Huntsman","FIRST HUNTSMAN",
597,"Second Huntsman","SECOND HUNTSMAN",
598,Hymen,HYMEN,
599,Iachimo,IACHIMO,"friend to Philario, an Italian."
600,Iago,IAGO,"Othello's ancient (?)"
601,Imogen,IMOGEN,"daughter to Cymbeline by a former queen"
602,Iras,IRAS,"attendant on Cleopatra"
603,Iris,IRIS,"presented by spirits"
604,"Queen Isabel","QUEEN ISABEL",
605,Isabella,ISABELLA,"sister to Claudio"
606,"Jack Cade",CADE,"a rebel"
607,Jamy,JAMY,
608,Jaquenetta,JAQUENETTA,"a country wench"
609,"Jaques (lord)",JAQUES,"the Duke's brother, and usurper of his dominions"
610,"Jaques (son)","JAQUES DE BOYS","the Duke's brother, and usurper of his dominions"
611,Jessica,JESSICA,"daughter to Shylock"
612,Jeweller,Jeweller,
613,"Joan la Pucelle","JOAN LA PUCELLE","commonly called Joan of Arc"
614,"John of Gaunt","JOHN OF GAUNT","duke of Lancaster, uncle to the king"
615,"John Holland",HOLLAND,"a follower of Cade"
616,"Father John Hume",HUME,"a priest"
617,"John Morton","BISHOP OF ELY","bishop of Ely"
618,"Father John Southwell","JOHN SOUTHWELL","a priest"
619,Joseph,JOSEPH,"a servingman"
620,"Margaret Jourdain","MARGARET JOURDAIN","a witch"
621,Julia,JULIA,"beloved of Proteus"
622,Juliet,JULIET,"Daughter to Capulet"
623,Juliet,JULIET,"beloved of Claudio"
624,Caesar,CAESAR,"(Julius Caesar)"
625,"Junius Brutus",BRUTUS,"tribune of the people"
626,Juno,JUNO,"presented by spirits"
627,Jupiter,Jupiter,
628,Justice,Justice,
629,Katharine,KATHARINE,"daughter to Charles and Isabel"
630,Katharine,KATHARINE,"lady attending on the princess"
631,Katherina,KATHERINA,"the shrew"
632,Keeper,Keeper,
633,Keeper,Keeper,
634,"Earl of Kent",,
635,"King of France",KING,
636,"King of France",France,
637,"King John","KING JOHN","king of England"
638,"King Phillip","KING PHILIP","king of France"
639,Knight,Knight,
640,Knights,Knights,
641,"Lady Anne","LADY ANNE","widow of Edward Prince of Wales, son to King Henry VI; afterwards married to Richard III"
642,"Lady Capulet","LADY CAPULET","Wife to Capulet"
643,Lady,Lady,
644,"Lady Faulconbridge","LADY FAULCONBRIDGE","wife to Sir Robert Faulconbridge"
645,Lady,Lady,"attending on the Queen"
646,"Lady Macbeth","LADY MACBETH",
647,"Lady Macduff","LADY MACDUFF",
648,"Lady Montague","LADY MONTAGUE","Wife to Montague"
649,"Lady Northumberland","LADY NORTHUMBERLAND",
650,"Lady Percy","LADY PERCY",
651,Laertes,Laer,"son to Polonius"
652,Lafeu,LAFEU,"an old lord"
653,"John of Lancaster",,"son of King Henry IV"
654,"Titus Lartius",TITUS,"general against the Volscians"
655,Launce,LAUNCE,"the like to Proteus"
656,"Launcelot Gobbo",LAUNCELOT,"the clown, servant to Shylock"
657,Lavinia,LAVINIA,
658,Lawyer,Lawyer,
659,Lear,Lear,"King of Britain"
660,"Le Beau","LE BEAU","a courtier attending upon Frederick"
661,Legate,Legate,
662,Lennox,LENNOX,"Nobleman of Scotland"
663,Leonardo,LEONARDO,"servant to Bassiano"
664,Leonato,LEONATO,"Governor of Messina"
665,"Sicilius Leonatus","Sicilius Leonatus","an apparition"
666,Leonine,LEONINE,"servant to Dionyza"
667,Leontes,LEONTES,"king of Sicilia"
668,Lepidus,LEPIDUS,"(Marcus Antonius Lepidus)"
669,Lewis,LEWIS,"the Dauphin"
670,"King Lewis XI","KING LEWIS XI","king of France"
671,Lieutenant,LIEUTENANT,"to Aufidius"
672,Lieutenant,Lieutenant,"of the Tower"
673,Ligarius,LIGARIUS,"a conspirator against Caesar"
674,Lodovico,LODOVICO,"Kinsman to Brabantio"
675,Longaville,LONGAVILLE,"lord attending on the king"
676,Lord,LORD,
677,"Lord Berkeley","LORD BERKELEY",
678,"Lord Chamberlain",Chamberlain,
679,"Lord Chancellor",Chancellor,
680,"Lord Clifford",CLIFFORD,
681,Lord,Lord,
682,"Lord Fitzwater","LORD FITZWATER",
683,"Lord Grey",GREY,"son of Queen Elizabeth"
684,Lord,Lord,
685,"Lord Hastings",HASTINGS,
686,Lord,Lord,
687,"Lord Lovel",LOVEL,
688,Lord,Lord,
689,Lord,Lord,
690,"Lord Marshal","LORD MARSHAL",
691,Lord,Lord,
692,"Lord (Earl) Rivers",RIVERS,"brother to Lady Gray (Queen Elizabeth)"
693,"Lord Sands",SANDS,
694,"Lord Say",SAY,
695,"Lord Scales",SCALES,
696,"Lord Scroop",SCROOP,
697,Lords,Lords,
698,Lords,Lords,
699,Lords,LORDS,
700,"Lord Stafford",STAFFORD,
701,Lords,Lords,
702,Lord,LORD,
703,"Lord Willoughby","LORD WILLOUGHBY",
704,Lord,Lord,
705,Lorenzo,LORENZO,"in love with Jessica"
706,"Sir Thomas Lovell",LOVELL,
707,Luce,LUCE,"servant to Adriana"
708,Lucentio,LUCENTIO,"son to Vincentio, in love with Bianca"
709,Lucetta,LUCETTA,"waiting-woman to Julia"
710,Luciana,LUCIANA,"sister to Adriana"
711,Lucianus,Luc,
712,Lucilius,LUCILIUS,"servant to Timon"
713,Lucilius,LUCILIUS,"friend to Brutus"
714,"Lucilius' Servant","Lucilius' Servant",
715,Lucio,LUCIO,"a fantastic"
716,Lucius,LUCIUS,"son to Titus Andronicus"
717,Lucius,LUCIUS,"servant to Brutus"
718,Lucius,LUCIUS,"flattering lord"
719,Lucullus,LUCULLUS,"flattering lord"
720,Lychorida,LYCHORIDA,"nurse to Marina"
721,Lymoges,AUSTRIA,"duke of Austria"
722,Lysander,LYSANDER,"in love with Hermia"
723,Lysimachus,LYSIMACHUS,"governor of Mytilene"
724,Macbeth,MACBETH,"General of the King's army"
725,Macduff,MACDUFF,"Nobleman of Scotland"
726,Macmorris,MACMORRIS,
727,Malcolm,MALCOLM,"Son of Duncan"
728,Malvolio,MALVOLIO,"steward to Olivia"
729,Mamillius,MAMILLIUS,"young prince of Sicilia"
730,Man,Man,"the Porter's man"
731,Marcellus,Mar,Officer
732,"Marcus Andronicus","MARCUS ANDRONICUS","tribune of the people, and brother to Titus"
733,Mardian,MARDIAN,"a eunuch, attendant on Cleopatra"
734,Margarelon,MARGARELON,"a bastard son of Priam"
735,Margaret,MARGARET,"Gentlewoman attending on Hero"
736,"Queen Margaret",Margaret,"daughter to Reignier, afterwards married to King Henry VI"
737,"Margaret Plantagenet","MARGARET PLANTAGENET","a young daughter of Clarence"
738,Maria,MARIA,"Olivia's woman"
739,Maria,MARIA,"lady attending on the princess"
740,Mariana,MARIANA,"neighbor and friend to the widow"
741,Mariana,MARIANA,
742,Marina,MARINA,"daughter to Pericles and Thaisa"
743,Mariners,Mariners,
744,Mariner,Mariner,
745,"Marquess of Montague",MONTAGUE,
746,"Marquis of Dorset",DORSET,"son of Queen Elizabeth"
747,Marshal,Marshal,
748,"Sir Oliver Martext",MARTEXT,"a vicar"
749,Martius,MARTIUS,"son to Titus Andronicus"
750,Marullus,MARULLUS,"a tribune"
751,Master,Master,
752,Master-Gunner,Master-Gunner,"of Orleans"
753,Master,Master,"master of a ship"
754,"Matthew Goffe","MATTHEW GOFFE",
755,"Mayor of Saint Alban's",Mayor,
756,"Lord Mayor of London",Mayor,
757,"Mayor of York",Mayor,
758,Mecaenas,MECAENAS,"friend to Caesar"
759,Melun,MELUN,"a French Lord"
760,Menas,MENAS,"friend to Caesar"
761,Menecrates,MENECRATES,"friend to Pompey"
762,Menelaus,MENELAUS,"Agamemnon's brother"
763,"Menenius Agrippa",MENENIUS,"friend to Coriolanus"
764,Menteith,MENTEITH,"Nobleman of Scotland"
765,Mercade,MERCADE,"lord attending on the princess of France"
766,Merchant,Merchant,
767,Mercutio,MERCUTIO,"Kinsman to Escalus the prince, and friend to Romeo"
768,Messala,MESSALA,"friend to Brutus"
769,Messenger,Messenger,
770,Messenger,Messenger,
771,Messenger,Messenger,
772,Messenger,Messenger,
773,Messenger,MESSENGER,
774,Messenger,Messenger,
775,Messenger,Messenger,
776,Messenger,Messenger,
777,Messenger,Messenger,
778,Messenger,Messenger,
779,Messenger,Mess,
780,Messenger,Messenger,
781,Messenger,Messenger,
782,Messenger,Mess,
783,Messenger,Messenger,
784,Messenger,Messenger,
785,Messenger,Messenger,
786,Messenger,Messenger,
787,Messenger,Messenger,
788,Messenger,Messenger,
789,Messenger,Messenger,
790,Messenger,Messenger,
791,Messenger,MESSENGER,
792,"Metellus Cimber","Metellus Cimber","a conspirator against Caesar"
793,Michael,MICHAEL,"a follower of Cade"
794,Miranda,MIRANDA,"daughter to Prospero"
795,"Mistress Ford","MISTRESS FORD",
796,"Mistress Overdone","MISTRESS OVERDONE","a bawd"
797,"Mistress Page","MISTRESS PAGE",
798,Montague,MONTAGUE,"Head of the house of Montague"
799,Montano,MONTANO,"Othello's predecessor in the government of Cyprus"
800,Montjoy,MONTJOY,"a French herald"
801,Mopsa,MOPSA,"a shepherdess"
802,Mortimer,MORTIMER,"Earl of March"
803,Morton,MORTON,"retainer of Northumberland"
804,Moth,MOTH,"page to Armado"
805,Mother,Mother,"an apparition"
806,Moth,MOTH,"a fairy"
807,"Ralph Mouldy",MOULDY,"country soldier"
808,"Lord Mowbray",MOWBRAY,
809,Mustardseed,MUSTARDSEED,"a fairy"
810,Mutius,MUTIUS,"son to Titus Andronicus"
811,Myrmidons,MYRMIDONS,"soldiers of Achilles in the Trojan war"
812,Nathaniel,NATHANIEL,"a servingman"
813,Nerissa,NERISSA,"Portia's maid-in-waiting"
814,Nestor,NESTOR,"a Greek prince"
815,Nicholas,NICHOLAS,"a servingman"
816,Nobleman,Nobleman,
817,"Norwegian Captain",Capt,
818,Nurse,Nurse,"Nurse to Juliet"
819,Nurse,Nurse,
820,Nym,NYM,"sharper attending on Falstaff"
821,Nymphs,Nymphs,"presented by spirits"
822,Oberon,OBERON,"king of the fairies"
823,Octavia,OCTAVIA,"sister to Caesar and wife to Antony"
824,Octavius,OCTAVIUS,"(Octavius Caesar)"
825,Officer,Officer,
826,Officer,Officer,
827,Officer,Officer,
828,Officer,Officer,
829,"Old Athenian","Old Athenian",
830,"Old Gobbo",GOBBO,"father to Launcelot"
831,"Old Lady","Old Lady","friend to Anne Bullen"
832,"Old Man","Old Man","tenant to Glouchester"
833,"Old Man","Old Man",
834,"Old Shepherd",Shepherd,"reputed father of Perdita"
835,Oliver,OLIVER,"son of Sir Rowland de Boys"
836,Olivia,OLIVIA,
837,Ophelia,Oph,"daughter to Polonius"
838,Orlando,ORLANDO,"son of Sir Rowland de Boys"
839,"Duke of Orleans",ORLEANS,
840,Orsino,"DUKE ORSINO","Duke of Illyria"
841,Osric,Osr,courtier
842,Ostler,Ostler,
843,Oswald,Osw,"steward to Goneril"
844,Othello,OTHELLO,"A noble Moor in the service of the Ventian state"
845,Outlaws,Outlaws,
846,"First Page","FIRST PAGE",
847,"Second Page","SECOND PAGE",
848,Page,Page,
849,Page,PAGE,"to Falstaff"
850,Page,Boy,"a page to Gardiner"
851,Page,PAGE,"a gentleman dwelling at Windsor"
852,Page,Page,
853,Page,PAGE,"Page to Paris"
854,Page,Page,
855,Page,PAGE,
856,Painter,Painter,
857,Pandar,Pandar,
858,Pandarus,PANDARUS,"uncle to Cressida"
859,Panthino,PANTHINO,"servant to Antonio"
860,Paris,PARIS,"A young nobleman, kinsman to Escalus the prince"
861,Paris,PARIS,"son of Priam, king of Troy"
862,Parolles,PAROLLES,"a follower of Bertram"
863,Patience,PATIENCE,"woman to Queen Katharine"
864,Patrician,"A Patrician",
865,Patroclus,PATROCLUS,"a Greek prince"
866,Paulina,PAULINA,"wife to Antigonus"
867,Peaseblossom,PEASEBLOSSOM,"a fairy"
868,Pedant,PEDANT,
869,Pembroke,PEMBROKE,"earl of Pembroke"
870,"Earl of Pembroke",PEMBROKE,
871,Perdita,PERDITA,"daughter to Leontes and Hermione"
872,Pericles,PERICLES,"prince of Tyre"
873,Peter,PETER,"Thomas Horner's man"
874,"Peter of Pomfret",PETER,"a prophet"
875,Peter,PETER,"Servant to Julet's nurse"
876,Peter,PETER,"a servingman"
877,Peto,PETO,
878,Petruchio,PETRUCHIO,"a gentleman of Verona, a suitor to Katherina"
879,Phebe,PHEBE,"a shepherdess"
880,Philario,PHILARIO,"friend to Posthumus, an Italian."
881,Philemon,PHILEMON,"servant to Cerimon"
882,"Philip the Bastard",BASTARD,"illegitimate son of Sir Robert Faulconbridge"
883,Philip,PHILIP,"a servingman"
884,Philo,PHILO,"friend to Antony"
885,Philostrate,PHILOSTRATE,"master of the revels to Theseus"
886,Philotus,PHILOTUS,"servant to Timon's creditors"
887,Phrynia,PHRYNIA,"mistress to Alcibiades"
888,Pinch,PINCH,"a schoolmaster"
889,Pindarus,PINDARUS,"servant to Cassius"
890,Pisanio,PISANIO,"servant to Posthumus"
891,Pistol,PISTOL,
892,Players,PLAYERS,
893,Player,PLAYER,
894,Poet,Poet,"the voice of Shakespeare's poetry"
895,Poet,Poet,
896,Poet,Poet,
897,"Edward Poins",POINS,
898,Polixenes,POLIXENES,"king of Bohemia"
899,Polonius,Pol,"Lord Chamberlain"
900,Pompey,POMPEY,"(Sextus Pompeius)"
901,Pompey,POMPEY,"servant to Mistress Overdone"
902,Popilius,POPILIUS,"(Popilius Lena)"
903,Porter,PORTER,
904,Porter,Porter,
905,Porter,Porter,"door-keeper of the Council-chamber"
906,Porter,Porter,
907,Portia,PORTIA,"wife to Brutus"
908,Portia,PORTIA,"a rich heiress"
909,Post,Post,
910,Post,Post,
911,"Posthumus Leonatus","POSTHUMUS LEONATUS","a gentleman, husband to Imogen"
912,Priam,PRIAM,"king of Troy"
913,Priest,Priest,
914,Priest,Priest,
915,"Prince of Arragon",ARRAGON,"suitor to Portia"
916,"Prince Edward","PRINCE EDWARD",
917,"Prince Henry","PRINCE HENRY","son to King John"
918,"Prince Humphrey","PRINCE HUMPHREY","of Goucester"
919,"Prince John",LANCASTER,"of Lancaster"
920,"Prince of Morocco",MOROCCO,"suitor to Portia"
921,Princes,Princes,
922,"Princess of France",PRINCESS,
923,Proculeius,PROCULEIUS,"friend to Caesar"
924,Prospero,PROSPERO,"the rightful Duke of Milan"
925,Proteus,PROTEUS,"a gentleman"
926,Provost,Provost,
927,Publius,PUBLIUS,"son to Marcus the Tribune"
928,Publius,PUBLIUS,Senator
929,Puck,PUCK,"or Robin Goodfellow"
930,Pursuivant,Pursuivant,
931,Queen,QUEEN,"wife to Cymbeline"
932,"Queen Elinor","QUEEN ELINOR","mother to King John"
933,"Queen Elizabeth","QUEEN ELIZABETH","starts as Lady Grey, marries Edward IV"
934,"Queen Katharine","QUEEN KATHARINE","wife to King Henry, afterwards divorced"
935,Queen,QUEEN,
936,"Hostess Quickly",HOSTESS,"hostess of a tavern in Eastcheap"
937,Quince,QUINCE,"a carpenter"
938,Quintus,QUINTUS,"son to Titus Andronicus"
939,Rambures,RAMBURES,"French lord"
940,Reapers,Reapers,"presented by spirits"
941,Regan,Reg,"daughter to Lear"
942,Reignier,REIGNIER,"duke of Anjou, and titular king of Naples"
943,Reynaldo,Rey,"servant to Polonius"
944,"King Richard II","KING RICHARD II","king of England"
945,"Richard III",RICHARD3,"son of Richard Plantagenet, duke of York; was duke of Gloucester before enthronement"
946,"Richard Plantagenet (Duke of Gloucester)",PLANTAGENET,"becomes duke of York in Henry VI, Part"
947,"Richard Plantagenet the Younger",RICHARD,
948,Robin,ROBIN,"page to Falstaff"
949,Roderigo,RODERIGO,"A Venetian gentleman"
950,"Roman Captain",Captain,
951,Roman,Roman,
952,Romeo,ROMEO,"Son to Montague"
953,Rosalind,ROSALIND,"daughter to the banished Duke"
954,Rosaline,ROSALINE,"lady attending on the princess"
955,Rosencrantz,Ros,courtier
956,Ross,ROSS,"Nobleman of Scotland"
957,"Lord Ross","LORD ROSS",
958,Rugby,RUGBY,"servant to Doctor Caius"
959,Rumour,RUMOUR,"the Presenter"
960,Sailor,Sailor,
961,Sailor,Sailor,
962,Salanio,SALANIO,"friend to Antonio and Bassiano"
963,Salarino,SALARINO,"friend to Antonio and Bassiano"
964,Salerio,SALERIO,"friend to Antonio and Bassiano"
965,"Earl of Salisbury",SALISBURY,
966,Salisbury,SALISBURY,"earl of Salisbury"
967,"Earl of Salisbury","EARL OF SALISBURY",
968,Sampson,SAMPSON,"Servant to Capulet"
969,Saturninus,SATURNINUS,"son to the late Emperor of Rome, and afterwards
	declared Emperor"
970,Scarus,SCARUS,"friend to Antony"
971,Scout,Scout,
972,Scribe,Scribe,
973,Scrivener,Scrivener,
974,"Archbishop Scroop",ARCHBISHOP,"Archbishop of York"
975,Captain,Captain,"friend to Viola"
976,Sebastian,SEBASTIAN,"brother to Viola"
977,Sebastian,SEBASTIAN,"the King's brother"
978,"Second Attendant","Second Attendant",
979,"Second Bandit","Second Bandit",
980,"Second Brother","Second Brother","an apparition"
981,"Second British Captain","Second Captain",
982,"Second Carrier","Second Carrier",
983,"Second Citizen","Second Citizen",
984,"Second Citizen","Second Citizen",
985,"Second Citizen","Second Citizen",
986,"Second Commoner","Second Commoner",
987,"Second Fisherman","Second Fisherman",
988,"Second Gaoler","Second Gaoler",
989,"Second Gentleman","Second Gentleman",
990,"Second Gentleman","Second Gentleman",
991,"Second Gentleman","Second Gentleman","a gentleman of Cymbeline's court"
992,"Second Gentleman","Second Gentleman",
993,"Second Gentleman","Second Gentleman",
994,"Second Gentleman","Second Gentleman",
995,"Second Gentleman","Second Gentleman",
996,"Second Guard","Second Guard",
997,"Second Herald","Second Herald",
998,"Second Keeper","Second Keeper",
999,"Second Knight","Second Knight",
1000,"Second Lady","Second Lady",
